user,choice,value,time (s),page
user,choice,value,time (s),page
user,choice,value,time (s),page
Last Test,could not get choice text, a , a ,Unusual Mortality Events (2129)
Last Test,could not get choice text, a , a ,What is your hypothesis? (2130)
Last Test,could not get choice text, a , a ,What is your hypothesis? (2130)
Last Test,could not get choice text, a , a ,What is your hypothesis? (2130)
Last Test,could not get choice text,  Examine dead affected dolphins  ,  Examine dead affected dolphins  ,Tests (2131)
Last Test,could not get choice text, a , a ,Examine dead affected dolphins (2133)
Last Test,could not get choice text, a , a ,Examine dead affected dolphin results (2146)
Last Test,could not get choice text,  I want to do more tests  ,  I want to do more tests  ,What would you like to do next?  (2145)
Last Test,could not get choice text,  Examine dead affected manatee  ,  Examine dead affected manatee  ,Tests (2131)
Last Test,could not get choice text, a , a ,Examine dead affected manatees (2134)
Last Test,could not get choice text, a , a ,Examine dead affected manatee results (2147)
Last Test,could not get choice text,  I want to do more tests  ,  I want to do more tests  ,What would you like to do next?  (2145)
Last Test,could not get choice text,  Examine dead affected pelican  ,  Examine dead affected pelican  ,Tests (2131)
Last Test,could not get choice text, a , a ,Examine dead affected pelicans (2135)
Last Test,could not get choice text, a , a ,Examine dead affected pelicans results (2148)
Last Test,could not get choice text,  I want to do more tests  ,  I want to do more tests  ,What would you like to do next?  (2145)
Last Test,could not get choice text,  Look for invasive species  ,  Look for invasive species  ,Tests (2131)
Last Test,could not get choice text, a , a ,Look for invasive species (2136)
Last Test,could not get choice text, a , a ,Invasive Species Results (2149)
Last Test,could not get choice text,  I want to do more tests  ,  I want to do more tests  ,What would you like to do next?  (2145)
Last Test,could not get choice text,  Look for algal blooms  ,  Look for algal blooms  ,Tests (2131)
Last Test,could not get choice text, a , a ,Look for algal blooms (2137)
Last Test,could not get choice text, a , a ,Algal Blooms Results (2150)
Last Test,could not get choice text,  I want to do more tests  ,  I want to do more tests  ,What would you like to do next?  (2145)
Last Test,could not get choice text,  Test water salinity  ,  Test water salinity  ,Tests (2131)
Last Test,could not get choice text, a , a ,Test water salinity (2138)
Last Test,could not get choice text, a , a ,Water Salinity Results (2151)
Last Test,could not get choice text,  I want to do more tests  ,  I want to do more tests  ,What would you like to do next?  (2145)
Last Test,could not get choice text,  Test water temperature  ,  Test water temperature  ,Tests (2131)
Last Test,could not get choice text, a , a ,Test water temperature (2139)
Last Test,could not get choice text, a , a ,Water Temperature Results (2152)
Last Test,could not get choice text,  I want to do more tests  ,  I want to do more tests  ,What would you like to do next?  (2145)
Last Test,could not get choice text,  Test dissolved oxygen  ,  Test dissolved oxygen  ,Tests (2131)
Last Test,could not get choice text, a , a ,Test dissolved oxygen (2140)
Last Test,could not get choice text, a , a ,Dissolved Oxygen Results (2153)
Last Test,could not get choice text,  I want to do more tests  ,  I want to do more tests  ,What would you like to do next?  (2145)
Last Test,could not get choice text,  Test water clarity  ,  Test water clarity  ,Tests (2131)
Last Test,could not get choice text, a , a ,Test water clarity (2141)
Last Test,could not get choice text, a , a ,Water clarity results (2154)
Last Test,could not get choice text,  I want to do more tests  ,  I want to do more tests  ,What would you like to do next?  (2145)
Last Test,could not get choice text,  Examine Sea grass  ,  Examine Sea grass  ,Tests (2131)
Last Test,could not get choice text, a , a ,Examine seagrass  (2142)
Last Test,could not get choice text, a , a ,Examine Seagrass: Results (2155)
Last Test,could not get choice text,  I want to do more tests  ,  I want to do more tests  ,What would you like to do next?  (2145)
Last Test,could not get choice text,  Test nitrogen levels  ,  Test nitrogen levels  ,Tests (2131)
Last Test,could not get choice text, a , a ,Test for coliform bacteria (2143)
Last Test,could not get choice text, a , a ,Coliform Bacteria Results  (2156)
Last Test,could not get choice text,  I want to generate a new hypothesis  ,  I want to generate a new hypothesis  ,What would you like to do next?  (2145)
Last Test,could not get choice text, a , a ,What is your hypothesis? (2130)
Last Test,could not get choice text, a , a ,What is your hypothesis? (2130)
Last Test,could not get choice text, a , a ,What is your hypothesis? (2130)
Last Test,could not get choice text,  Look for invasive species  ,  Look for invasive species  ,Tests (2131)
Last Test,could not get choice text, a , a ,Look for invasive species (2136)
Last Test,could not get choice text, a , a ,Invasive Species Results (2149)
Last Test,could not get choice text,  I'm ready to make my conclusions  ,  I'm ready to make my conclusions  ,What would you like to do next?  (2145)
Last Test,could not get choice text, a , a ,Revisit Hypothesis  (2157)
Last Test,could not get choice text, a , a ,Revisit Hypothesis  (2157)
Last Test,could not get choice text, a , a ,Conclusions (2158)
Last Test,could not get choice text, a , a ,Conclusions (2158)
101,could not get choice text, biotoxins because india has a lot of pollution and water basins where animals are drinking directly from may be infected with toxins , biotoxins because india has a lot of pollution and water basins where animals are drinking directly from may be infected with toxins ,Unusual Mortality Events (2129)
101,could not get choice text, My hypothesis is that biotoxins are causing the death of animals in the Blue Lagoon areas in India. , My hypothesis is that biotoxins are causing the death of animals in the Blue Lagoon areas in India. ,What is your hypothesis? (2130)
101,could not get choice text," I was asked a question at the end, so I thought that the hypothesis should be based on the question. Also because we are trying to stop animals from dying, so finding the reason why all the animals are dying is important and necessary. "," I was asked a question at the end, so I thought that the hypothesis should be based on the question. Also because we are trying to stop animals from dying, so finding the reason why all the animals are dying is important and necessary. ",What is your hypothesis? (2130)
101,could not get choice text, I would like to test the possible causes of the animals' deaths by applying each of the possible purposes of their deaths to their environment and seeing if they die. , I would like to test the possible causes of the animals' deaths by applying each of the possible purposes of their deaths to their environment and seeing if they die. ,What is your hypothesis? (2130)
101,could not get choice text,  Test nitrogen levels  ,  Test nitrogen levels  ,Tests (2131)
101,could not get choice text, I want to test them because i think nitrogen is considered a biotoxin and if nitrogen is in the water then biotoxins could be the cause of the animals' death , I want to test them because i think nitrogen is considered a biotoxin and if nitrogen is in the water then biotoxins could be the cause of the animals' death ,Test for coliform bacteria (2143)
101,could not get choice text, This information tells me that my hypothesis is most likely wrong because there is not enough nitrogen content for biotoxins to be the cause of the animals' deaths , This information tells me that my hypothesis is most likely wrong because there is not enough nitrogen content for biotoxins to be the cause of the animals' deaths ,Coliform Bacteria Results  (2156)
101,could not get choice text,  I want to generate a new hypothesis  ,  I want to generate a new hypothesis  ,What would you like to do next?  (2145)
101,could not get choice text, My hypothesis is that infections are the cause of unusual mortality event occurring in India. , My hypothesis is that infections are the cause of unusual mortality event occurring in India. ,What is your hypothesis? (2130)
101,could not get choice text, I chose this because Infections are some of the most common ways that animals can die. , I chose this because Infections are some of the most common ways that animals can die. ,What is your hypothesis? (2130)
101,could not get choice text, I would like to expose animals to different infections and see how their bodies can handle it. , I would like to expose animals to different infections and see how their bodies can handle it. ,What is your hypothesis? (2130)
101,could not get choice text,  Examine dead affected pelican  ,  Examine dead affected pelican  ,Tests (2131)
101,could not get choice text, Because if I can examine a dead affected pelican then I can see if or which infection caused the death of the pelican. , Because if I can examine a dead affected pelican then I can see if or which infection caused the death of the pelican. ,Examine dead affected pelicans (2135)
101,could not get choice text, The most striking information is that there was no evidence of disease or pathogens. My hypothesis is refuted by this information. , The most striking information is that there was no evidence of disease or pathogens. My hypothesis is refuted by this information. ,Examine dead affected pelicans results (2148)
101,could not get choice text,  I want to do more tests  ,  I want to do more tests  ,What would you like to do next?  (2145)
101,could not get choice text,  Examine dead affected manatee  ,  Examine dead affected manatee  ,Tests (2131)
101,could not get choice text, I want to examine the dead affected manatee to see if it has a disease from the same area the pelican came from that had no disease , I want to examine the dead affected manatee to see if it has a disease from the same area the pelican came from that had no disease ,Examine dead affected manatees (2134)
101,could not get choice text, The information that was most striking was that the manatee did not have any diseases. My hypothesis is refuted. , The information that was most striking was that the manatee did not have any diseases. My hypothesis is refuted. ,Examine dead affected manatee results (2147)
101,could not get choice text,  I want to generate a new hypothesis  ,  I want to generate a new hypothesis  ,What would you like to do next?  (2145)
101,could not get choice text, i dont actually want to do this , i dont actually want to do this ,What is your hypothesis? (2130)
101,could not get choice text, i dont actually want to do this , i dont actually want to do this ,What is your hypothesis? (2130)
101,could not get choice text, i dont actually want to do this , i dont actually want to do this ,What is your hypothesis? (2130)
101,could not get choice text,  Examine dead affected manatee  ,  Examine dead affected manatee  ,Tests (2131)
101,could not get choice text, i dont actuall want to do this , i dont actuall want to do this ,Examine dead affected manatees (2134)
101,could not get choice text, didn't mean to choose this one , didn't mean to choose this one ,Examine dead affected manatee results (2147)
